,Perpetuum FSH/C,Enocean Eco 100,Clarkson U prototype,Michigan U PFIG,U Texas prototype Induc Vib,Seiko Kinetic watch,AA battery harvester,Socket,Kinetic flashlight,MIDE Voiture,Bistable buckling harvester,Heel-impact shoe harvester,Innowattech road/rail,Piezo backpack straps,U Texas prototype Piezo Vib,WindTamer,Leviathan,Enviro Engergies,Four Seasons,Humdinger Wind Belt,Michigan U piezo flag,Nova Energy tuna turbine,Columbia Power Manta buoy,Wing Wave Generator,Solar heat engine w/ mirrors,Tracking system,Inflatable mat,Big Belly trash compactor,Transparent film on window,Seiko Solar watch,Seiko Thermic watch,Enocean ECT 310 Perpetuum,Micropelt TE-power probe,Micropelt TE-power ring,Micropelt STM-PEM,Solar powered Sterling engine,Solar/wind streetlamp,Kinesis wind/solar,Hymini wind/solar/crank
Leviathan,106.0,104.5,100.5,134.5,128.5,175.0,177.5,182.0,167.0,142.0,146.0,150.5,166.5,175.0,144.5,21.5,0.0,69.0,62.0,72.5,66.5,133.0,171.0,119.0,130.0,143.0,155.5,225.0,143.0,212.5,204.5,136.0,120.5,77.0,90.5,51.0,119.0,151.0,171.0
Enviro Engergies,139.0,115.5,149.5,127.5,137.5,170.0,182.5,135.0,166.0,163.0,145.0,157.5,185.5,174.0,149.5,70.5,69.0,0.0,21.0,103.5,123.5,140.0,142.0,142.0,145.0,156.0,140.5,210.0,158.0,217.5,197.5,115.0,145.5,106.0,117.5,104.0,104.0,144.0,166.0
Four Seasons,118.0,126.5,144.5,108.5,132.5,191.0,179.5,150.0,187.0,150.0,124.0,170.5,164.5,155.0,148.5,83.5,62.0,21.0,0.0,82.5,110.5,151.0,155.0,123.0,142.0,155.0,157.5,231.0,157.0,238.5,218.5,98.0,128.5,89.0,100.5,93.0,97.0,145.0,169.0
Humdinger Wind Belt,47.5,92.0,74.0,68.0,102.0,223.5,155.0,167.5,190.5,109.5,77.5,154.0,100.0,146.5,120.0,94.0,72.5,103.5,82.5,0.0,38.0,149.5,150.5,107.5,160.5,173.5,179.0,269.5,114.5,228.0,234.0,113.5,86.0,73.5,58.0,81.5,147.5,211.5,237.5
Michigan U piezo flag,71.5,114.0,70.0,102.0,98.0,221.5,151.0,195.5,188.5,79.5,85.5,150.0,106.0,158.5,116.0,88.0,66.5,123.5,110.5,38.0,0.0,171.5,174.5,141.5,132.5,147.5,157.0,243.5,118.5,204.0,208.0,115.5,104.0,83.5,70.0,75.5,141.5,207.5,231.5
Nova Energy tuna turbine,139.0,125.5,141.5,141.5,167.5,222.0,210.5,177.0,214.0,191.0,171.0,161.5,191.5,200.0,165.5,118.5,133.0,140.0,151.0,149.5,171.5,0.0,122.0,68.0,165.0,164.0,198.5,232.0,124.0,227.5,265.5,183.0,95.5,124.0,139.5,136.0,192.0,248.0,242.0
Columbia Power Manta buoy,119.0,126.5,156.5,126.5,152.5,174.0,197.5,136.0,141.0,149.0,121.0,184.5,158.5,119.0,166.5,174.5,171.0,142.0,155.0,150.5,174.5,122.0,0.0,120.0,197.0,212.0,196.5,280.0,132.0,190.5,246.5,175.0,140.5,182.0,166.5,198.0,230.0,258.0,292.0
Wing Wave Generator,95.0,107.5,121.5,101.5,147.5,222.0,196.5,155.0,212.0,155.0,121.0,165.5,135.5,156.0,149.5,126.5,119.0,142.0,123.0,107.5,141.5,68.0,120.0,0.0,165.0,168.0,222.5,270.0,106.0,255.5,299.5,169.0,95.5,114.0,125.5,138.0,198.0,250.0,278.0
Solar heat engine w/ mirrors,144.0,146.5,118.5,146.5,106.5,153.0,161.5,192.0,175.0,94.0,126.0,178.5,162.5,177.0,112.5,145.5,130.0,145.0,142.0,160.5,132.5,165.0,197.0,165.0,0.0,19.0,121.5,127.0,137.0,130.5,182.5,124.0,170.5,117.0,130.5,97.0,71.0,175.0,155.0
Tracking system,161.0,161.5,133.5,151.5,121.5,162.0,176.5,193.0,188.0,113.0,145.0,179.5,181.5,196.0,109.5,144.5,143.0,156.0,155.0,173.5,147.5,164.0,212.0,168.0,19.0,0.0,110.5,108.0,138.0,143.5,187.5,129.0,185.5,132.0,145.5,108.0,78.0,182.0,162.0
